policy_id,policyholder_id,broker_id,policy_type,policy_number,start_date,end_date,premium_amount,coverage_limit,deductible,status,auto_make,auto_year,property_address,liability_type
POL001,PH001,BRK001,Auto,AUT-2024-10001,2024-01-15,2025-01-15,1850.00,2000000,500,Active,Toyota Camry,2022,,
POL002,PH001,BRK001,Property,PRP-2024-20001,2024-02-01,2025-02-01,2400.00,750000,1000,Active,,,123 Queen St W Toronto ON,
POL003,PH001,BRK001,Liability,LIA-2024-30001,2024-02-01,2025-02-01,950.00,5000000,2500,Active,,,,Personal Umbrella
POL004,PH002,BRK002,Auto,AUT-2024-10002,2024-03-01,2025-03-01,1650.00,2000000,500,Active,Honda CR-V,2023,,
POL005,PH002,BRK002,Property,PRP-2024-20002,2024-03-15,2025-03-15,1800.00,550000,1000,Active,,,45 Dundas St Mississauga ON,
POL006,PH003,BRK003,Commercial Property,PRP-2024-20003,2024-01-01,2025-01-01,8500.00,5000000,5000,Active,,,890 Bayfield St Barrie ON,
POL007,PH003,BRK003,Commercial Auto,AUT-2024-10003,2024-01-01,2025-01-01,12000.00,3000000,2500,Active,Fleet - 8 vehicles,2021,,
POL008,PH003,BRK003,Commercial Liability,LIA-2024-30002,2024-01-01,2025-01-01,6200.00,10000000,10000,Active,,,,CGL
POL009,PH003,BRK003,Workers Compensation,WCB-2024-40001,2024-01-01,2025-01-01,15000.00,2000000,0,Active,,,,
POL010,PH004,BRK004,Auto,AUT-2024-10004,2024-04-01,2025-04-01,2100.00,2000000,500,Active,Ford F-150,2024,,
POL011,PH004,BRK004,Property,PRP-2024-20004,2024-04-15,2025-04-15,1950.00,620000,1000,Active,,,78 Rideau St Ottawa ON,
POL012,PH005,BRK005,Commercial Property,PRP-2024-20005,2024-02-01,2025-02-01,22000.00,15000000,25000,Active,,,Port Terminal Rd Thunder Bay ON,
POL013,PH005,BRK005,Marine Cargo,MAR-2024-50001,2024-02-01,2025-02-01,45000.00,50000000,50000,Active,,,,
