filing_id,filing_type,filing_date,regulatory_body,region,status,due_date,summary
RF001,Annual Return,2024-03-31,FSRA,Ontario,Completed,2024-04-30,"Annual financial return filed with Financial Services Regulatory Authority of Ontario. Total direct written premiums for Ontario operations: $2.1B across personal and commercial lines. Combined ratio of 94.2% reflects strong underwriting discipline. Investment income of $185M supports overall profitability. Capital adequacy ratio (MCT) at 235% — well above OSFI minimum of 150%. No material adverse findings from actuarial review. Appointed actuary opinion: reserves adequate with margin."
RF002,IFRS 17 Compliance,2024-01-15,OSFI,National,Completed,2024-01-31,"Quarterly IFRS 17 compliance filing. Insurance contract liabilities measured under General Measurement Model for all commercial lines and Premium Allocation Approach for personal auto and property. Risk adjustment calculated at 8.5% confidence level using cost-of-capital approach. Contractual service margin release pattern reflects expected claims emergence. Key change this quarter: updated loss development factors for commercial auto reflecting improved large loss experience. Discount rates updated to reflect Q4 2023 yield curve movements."
RF003,Capital Adequacy,2024-06-30,OSFI,National,Completed,2024-07-31,"Semi-annual Minimum Capital Test (MCT) filing. Total capital available: $4.2B. Total capital required: $1.8B. MCT ratio: 233%. Tier 1 capital ratio: 198%. Capital composition: common equity 72%, retained earnings 18%, subordinated debt 10%. Stress testing results: under 1-in-200 year catastrophe scenario, MCT would remain above 180%. No capital actions required. Board risk appetite maintained at 200% minimum MCT."
RF004,Catastrophe Exposure,2024-09-15,OSFI,National,Completed,2024-10-15,"Annual catastrophe exposure filing per OSFI Guideline B-9. Key exposures: Toronto earthquake (250-year PML: $380M), Ontario windstorm ($290M), Alberta wildfire ($210M). Reinsurance program provides coverage to 1-in-500 year event level. Net retained exposure after reinsurance: $75M first event, $50M subsequent events. Aggregate excess program in place for frequency protection. Cat model validation completed using AIR and RMS — results within 10% of each other. Exposure concentration in GTA continues to be primary accumulation risk."
RF005,Market Conduct,2024-04-15,FSRA,Ontario,Completed,2024-05-15,"FSRA market conduct examination response. Examination covered claims handling practices for personal auto bodily injury claims (AB) for the period 2022-2023. Findings: 1) 94% of BI claims acknowledged within 5-day regulatory requirement, 2) 88% of treatment plans approved within 10 business days, 3) IE (Independent Examination) requests made within regulatory guidelines in 97% of cases, 4) Two areas for improvement identified: a) catastrophic impairment determination timeliness (78% vs 85% target), b) disclosure of IE report copies to claimants within required timeframe (82% compliance). Corrective action plan submitted and approved by FSRA."
RF006,Anti-Money Laundering,2024-07-01,FINTRAC,National,Completed,2024-07-31,"Annual compliance report filed with FINTRAC. Reporting obligations met: 142 large cash transaction reports filed, 23 suspicious transaction reports (STRs) submitted, 0 terrorist property reports. Enhanced due diligence applied to 34 commercial accounts per risk-based approach. Staff training completion rate: 98% (target 95%). Internal audit of AML program completed Q1 2024 — no material deficiencies. Program effectiveness assessment: compliant with PCMLTFA requirements. Key risk area: premium financing arrangements — additional monitoring implemented."
RF007,Privacy Breach Report,2024-08-25,OPC,National,Completed,2024-09-25,"Mandatory privacy breach report following cyber incident at Maple Tech Solutions (insured commercial client). Breach involved potential exposure of policyholder data through client's compromised systems. Our data affected: 342 policyholders' names, policy numbers, and coverage details were in client's records as Certificate of Insurance data. No financial information (bank accounts, credit cards) or sensitive personal information (SIN, health) exposed. Notification letters sent to all 342 affected individuals within 72 hours. Credit monitoring offered for 12 months. Root cause: client's failure to maintain security standards per our vendor data sharing agreement."
RF008,Own Risk Solvency Assessment,2024-03-01,OSFI,National,Completed,2024-03-31,"Annual ORSA filed with OSFI per Guideline E-19. Key risks assessed: 1) Insurance risk — loss ratio volatility modelled at +/- 5 points (within risk appetite), 2) Market risk — interest rate sensitivity (100bps parallel shift = $45M impact), 3) Credit risk — reinsurer counterparty exposure concentrated in top 5 (all rated A+ or above), 4) Operational risk — cyber risk rated as 'elevated' with mitigation program underway, 5) Climate risk — physical risk exposure to flood and wildfire increasing 3-5% annually, transition risk limited given liability portfolio composition. Board approved risk appetite statement reaffirmed."
RF009,Reinsurance Arrangements,2024-01-01,OSFI,National,Completed,2024-02-28,"Annual reinsurance filing per OSFI Guideline B-3. Program structure: Property cat XL ($500M limit xs $75M retention), Casualty XL ($50M limit xs $10M retention), Property per-risk XL ($25M limit xs $5M retention), Motor XL ($10M limit xs $2M retention). Lead reinsurers: Swiss Re (25%), Munich Re (20%), Lloyd's (15%), SCOR (10%), others (30%). All reinsurers rated A- or above by AM Best. Credit risk charge under MCT: $12M. Collateral held for non-registered reinsurers: $45M in trust. No disputes outstanding from prior years."
RF010,Climate Risk Disclosure,2024-06-01,OSFI,National,Completed,2024-06-30,"TCFD-aligned climate risk disclosure per OSFI Guideline B-15. Physical risks: portfolio exposure to flood ($1.2B insured values in 100-year flood zones), wildfire ($680M in wildfire-prone areas), convective storm ($3.1B in hail corridors). Transition risks: limited given P&C portfolio — no fossil fuel exclusions but monitoring ESG scores of large commercial accounts. Strategy: implementing climate-adjusted pricing for high-risk zones starting Q1 2025, investing $15M in flood mitigation partnerships, requiring building code upgrades for commercial renewals in high-risk areas. Metrics: Scope 1+2 emissions reduced 12% year-over-year."
