score_id,region,score_date,risk_score,auto_risk,property_risk,liability_risk,claims_frequency,severity_index,weather_factor,fraud_indicator
RS001,Greater Toronto,2024-01-01,62,58,65,63,0.045,0.72,Low,0.03
RS002,Greater Toronto,2024-01-15,64,60,67,65,0.048,0.74,Low,0.04
RS003,Greater Toronto,2024-02-01,68,72,62,65,0.052,0.78,Medium,0.03
RS004,Greater Toronto,2024-02-15,71,75,64,68,0.055,0.81,Medium,0.05
RS005,Greater Toronto,2024-03-01,65,68,60,64,0.047,0.73,Low,0.04
RS006,Greater Toronto,2024-03-15,63,65,58,62,0.044,0.71,Low,0.03
RS007,Greater Toronto,2024-04-01,60,55,63,61,0.042,0.68,Low,0.02
RS008,Greater Toronto,2024-04-15,58,52,62,59,0.040,0.66,Low,0.02
RS009,Greater Toronto,2024-05-01,55,48,58,56,0.038,0.63,Low,0.02
RS010,Greater Toronto,2024-05-15,57,50,60,58,0.039,0.65,Low,0.03
RS011,Greater Toronto,2024-06-01,59,52,62,60,0.041,0.67,Low,0.03
RS012,Greater Toronto,2024-06-15,62,55,66,63,0.044,0.70,Medium,0.04
RS013,Greater Toronto,2024-07-01,64,57,68,65,0.046,0.72,Medium,0.04
RS014,Greater Toronto,2024-07-15,66,60,70,67,0.048,0.75,Medium,0.05
RS015,Greater Toronto,2024-08-01,63,56,67,64,0.045,0.71,Low,0.04
RS016,Greater Toronto,2024-08-15,61,54,65,62,0.043,0.69,Low,0.03
RS017,Greater Toronto,2024-09-01,64,58,68,65,0.046,0.73,Medium,0.05
RS018,Greater Toronto,2024-09-15,67,62,70,68,0.050,0.77,Medium,0.06
RS019,Greater Toronto,2024-10-01,69,65,72,69,0.052,0.79,Medium,0.05
RS020,Greater Toronto,2024-10-15,72,70,74,71,0.056,0.83,High,0.06
RS021,Greater Toronto,2024-11-01,75,78,72,73,0.060,0.86,High,0.05
RS022,Greater Toronto,2024-11-15,78,82,74,76,0.064,0.89,High,0.06
RS023,Greater Toronto,2024-12-01,80,85,76,78,0.068,0.92,High,0.07
RS024,Greater Toronto,2024-12-15,77,80,74,75,0.062,0.87,High,0.06
RS025,Central Ontario,2024-01-01,58,55,60,58,0.040,0.65,Low,0.02
RS026,Central Ontario,2024-01-15,60,57,62,60,0.042,0.67,Low,0.02
RS027,Central Ontario,2024-02-01,65,70,60,62,0.048,0.73,Medium,0.03
RS028,Central Ontario,2024-02-15,68,74,62,64,0.051,0.76,Medium,0.03
RS029,Central Ontario,2024-03-01,62,66,58,60,0.044,0.70,Low,0.02
RS030,Central Ontario,2024-03-15,59,62,56,58,0.041,0.67,Low,0.02
RS031,Central Ontario,2024-04-01,55,50,58,55,0.037,0.62,Low,0.01
RS032,Central Ontario,2024-04-15,53,48,56,53,0.035,0.60,Low,0.01
RS033,Central Ontario,2024-05-01,50,45,53,50,0.033,0.57,Low,0.01
RS034,Central Ontario,2024-05-15,52,47,55,52,0.034,0.59,Low,0.01
RS035,Central Ontario,2024-06-01,54,50,56,54,0.036,0.61,Low,0.02
RS036,Central Ontario,2024-06-15,56,52,58,56,0.038,0.63,Low,0.02
RS037,Central Ontario,2024-07-01,58,54,60,58,0.040,0.65,Low,0.02
RS038,Central Ontario,2024-07-15,60,56,62,60,0.042,0.67,Medium,0.02
RS039,Central Ontario,2024-08-01,57,53,59,57,0.039,0.64,Low,0.02
RS040,Central Ontario,2024-08-15,55,51,57,55,0.037,0.62,Low,0.01
RS041,Central Ontario,2024-09-01,58,55,60,58,0.040,0.65,Low,0.02
RS042,Central Ontario,2024-09-15,61,58,63,61,0.043,0.68,Low,0.02
RS043,Central Ontario,2024-10-01,64,62,66,63,0.046,0.72,Medium,0.03
RS044,Central Ontario,2024-10-15,67,66,68,66,0.049,0.75,Medium,0.03
RS045,Central Ontario,2024-11-01,71,74,68,69,0.054,0.80,High,0.03
RS046,Central Ontario,2024-11-15,74,78,70,72,0.058,0.84,High,0.04
RS047,Central Ontario,2024-12-01,76,80,72,74,0.061,0.87,High,0.04
RS048,Central Ontario,2024-12-15,73,76,70,72,0.057,0.83,High,0.03
RS049,Eastern Ontario,2024-01-01,56,52,58,55,0.038,0.63,Low,0.02
RS050,Eastern Ontario,2024-01-15,58,54,60,57,0.040,0.65,Low,0.02
RS051,Eastern Ontario,2024-02-01,63,68,58,60,0.046,0.71,Medium,0.02
RS052,Eastern Ontario,2024-02-15,66,72,60,62,0.049,0.74,Medium,0.03
RS053,Eastern Ontario,2024-03-01,60,64,56,58,0.042,0.68,Low,0.02
RS054,Eastern Ontario,2024-03-15,57,60,54,56,0.039,0.65,Low,0.02
RS055,Eastern Ontario,2024-04-01,53,48,56,53,0.035,0.60,Low,0.01
RS056,Eastern Ontario,2024-04-15,51,46,54,51,0.033,0.58,Low,0.01
RS057,Eastern Ontario,2024-05-01,48,43,51,48,0.031,0.55,Low,0.01
RS058,Eastern Ontario,2024-05-15,50,45,53,50,0.032,0.57,Low,0.01
RS059,Eastern Ontario,2024-06-01,52,48,55,52,0.034,0.59,Low,0.01
RS060,Eastern Ontario,2024-06-15,54,50,57,54,0.036,0.61,Low,0.02
RS061,Eastern Ontario,2024-07-01,56,52,59,56,0.038,0.63,Low,0.02
RS062,Eastern Ontario,2024-07-15,58,55,61,58,0.040,0.65,Medium,0.02
RS063,Eastern Ontario,2024-08-01,55,52,58,55,0.037,0.62,Low,0.02
RS064,Eastern Ontario,2024-08-15,53,50,56,53,0.035,0.60,Low,0.01
RS065,Eastern Ontario,2024-09-01,56,53,58,55,0.038,0.63,Low,0.02
RS066,Eastern Ontario,2024-09-15,59,56,61,58,0.041,0.66,Low,0.02
RS067,Eastern Ontario,2024-10-01,62,60,64,61,0.044,0.70,Medium,0.02
RS068,Eastern Ontario,2024-10-15,65,64,66,64,0.047,0.73,Medium,0.03
RS069,Eastern Ontario,2024-11-01,69,72,66,67,0.052,0.78,High,0.03
RS070,Eastern Ontario,2024-11-15,72,76,68,70,0.056,0.82,High,0.03
RS071,Eastern Ontario,2024-12-01,74,78,70,72,0.059,0.85,High,0.03
RS072,Eastern Ontario,2024-12-15,71,74,68,70,0.055,0.81,High,0.03
RS073,Southwestern Ontario,2024-01-01,60,56,62,60,0.042,0.68,Low,0.02
RS074,Southwestern Ontario,2024-01-15,62,58,64,62,0.044,0.70,Low,0.03
RS075,Southwestern Ontario,2024-02-01,66,70,62,64,0.049,0.74,Medium,0.03
RS076,Southwestern Ontario,2024-02-15,69,74,64,66,0.052,0.77,Medium,0.03
RS077,Southwestern Ontario,2024-03-01,63,66,60,62,0.045,0.71,Low,0.02
RS078,Southwestern Ontario,2024-03-15,60,62,58,60,0.042,0.68,Low,0.02
RS079,Southwestern Ontario,2024-04-01,56,52,58,56,0.038,0.63,Low,0.02
RS080,Southwestern Ontario,2024-04-15,54,50,56,54,0.036,0.61,Low,0.01
RS081,Southwestern Ontario,2024-05-01,51,47,54,51,0.034,0.58,Low,0.01
RS082,Southwestern Ontario,2024-05-15,53,49,56,53,0.035,0.60,Low,0.02
RS083,Southwestern Ontario,2024-06-01,55,51,58,55,0.037,0.62,Low,0.02
RS084,Southwestern Ontario,2024-06-15,58,54,60,57,0.040,0.65,Medium,0.02
RS085,Southwestern Ontario,2024-07-01,60,56,62,60,0.042,0.68,Medium,0.03
RS086,Southwestern Ontario,2024-07-15,63,60,65,62,0.045,0.71,Medium,0.03
RS087,Southwestern Ontario,2024-08-01,65,62,67,64,0.047,0.74,Medium,0.04
RS088,Southwestern Ontario,2024-08-15,63,60,65,62,0.045,0.72,Medium,0.03
RS089,Southwestern Ontario,2024-09-01,60,57,62,60,0.042,0.68,Low,0.03
RS090,Southwestern Ontario,2024-09-15,63,60,65,62,0.045,0.71,Medium,0.03
RS091,Southwestern Ontario,2024-10-01,66,64,68,65,0.049,0.75,Medium,0.04
RS092,Southwestern Ontario,2024-10-15,69,68,70,68,0.052,0.78,Medium,0.04
RS093,Southwestern Ontario,2024-11-01,73,76,70,71,0.057,0.83,High,0.04
RS094,Southwestern Ontario,2024-11-15,76,80,72,74,0.061,0.87,High,0.05
RS095,Southwestern Ontario,2024-12-01,78,82,74,76,0.064,0.90,High,0.05
