note_id,claim_id,adjuster_name,note_date,note_type,content
CN001,CLM001,Marie Dubois,2024-03-16,Initial Assessment,"Policyholder reports rear-end collision at Yonge and Bloor intersection during evening rush hour. Damage to rear bumper, trunk lid, and tail lights. No injuries reported at scene. Police report filed. Dashcam footage available from the policyholder's vehicle showing the other driver failing to stop. Estimate from preferred vendor expected within 3 business days."
CN002,CLM001,Marie Dubois,2024-03-20,Vendor Estimate,"Received repair estimate from GTA Auto Body Works: $8,500 for bumper replacement, trunk lid repair, tail light assembly, and paint work. Estimate is within expected range for this type of damage. Recommending approval. Policyholder also requesting rental coverage during repair period estimated at 10 days."
CN003,CLM002,Pierre Gagnon,2024-04-21,Initial Assessment,"Policyholder discovered water damage upon returning home from work. Burst pipe in basement ceiling caused significant flooding to finished basement. Hardwood flooring buckled, drywall saturated, HVAC ductwork compromised. Emergency water extraction completed by ServiceMaster. Moisture readings still elevated. Full restoration scope to be determined after dry-out period of 5-7 days."
CN004,CLM002,Pierre Gagnon,2024-05-02,Scope Update,"Dry-out complete. Full scope now assessed: replacement of 800 sq ft hardwood, removal and replacement of drywall in 3 rooms, HVAC duct cleaning and partial replacement, replacement of 2 baseboards heaters. Contents inventory submitted by policyholder totals $8,500 including home office equipment and personal items. Total projected cost: $34,000 inclusive."
CN005,CLM003,Marie Dubois,2024-05-12,Initial Assessment,"Vehicle theft report filed with Peel Regional Police. 2023 Honda CR-V stolen from Square One mall parking structure level P3 between 11:00 AM and 4:30 PM. Vehicle recovered 3 days later in Etobicoke with significant body damage, missing aftermarket wheels, and damaged ignition. GPS tracker data confirms timeline. Reviewing surveillance footage from mall security."
CN006,CLM004,Jean-Marc Tremblay,2024-03-01,Initial Assessment,"Major fire at commercial construction workshop. Fire department responded within 8 minutes. Cause determined as faulty wiring in junction box near wood storage area. Fire spread rapidly due to stored lumber and sawdust. Workshop building approximately 60% damaged. Adjacent storage building has smoke and water damage. Business operations halted. Temporary fencing installed. Forensic electrical engineer report pending."
CN007,CLM004,Jean-Marc Tremblay,2024-03-15,Engineering Report,"Forensic electrical report confirms origin at junction box J-4 in the southwest corner. Wiring was original 1987 installation and had not been updated during the 2015 renovation contrary to building permit requirements. This may trigger subrogation against the electrical contractor who performed the 2015 work. Structural engineer confirms building is repairable but requires significant reinforcement."
CN008,CLM006,Sophie Lavoie,2024-07-24,Initial Assessment,"Multi-vehicle collision on Highway 417 westbound near Kanata exit. Policyholder's Ford F-150 struck by following vehicle during sudden rainstorm. Chain reaction involving 4 vehicles. Policyholder reports neck pain and back stiffness. Independent witness statements collected. OPP collision report indicates wet road conditions and reduced visibility as contributing factors. All parties have active insurance coverage."
CN009,CLM006,Sophie Lavoie,2024-08-15,Medical Update,"Policyholder has commenced physiotherapy treatment — 3 sessions per week for 6 weeks initially. MRI results show soft tissue injury to cervical spine consistent with whiplash. No structural damage. Prognosis good for full recovery within 3-6 months. AB benefits being tracked separately. Vehicle repair estimate at $15,000 from Kanata Auto Body. Total exposure including AB approximately $45,000-50,000."
CN010,CLM009,Andre Bouchard,2024-05-28,Initial Assessment,"Marine cargo claim for containerized goods damaged during Lake Superior transit. Vessel encountered unexpected storm with 6-meter waves. Container GLSC-4521 shifted in hold, resulting in water ingress through compromised seal. Contents include industrial equipment destined for client in Sault Ste. Marie. Salvage assessment underway. Marine surveyor appointment scheduled for June 3."
